driver_status	adj_splicing_density
Passengers in absence of driver	0.9438211967952822
Drivers	0.2982661838741561
Passengers in presence of driver	0.5965323677483122
Passengers in absence of driver	1.2069819374372297
Passengers in absence of driver	30.98047815996097
Passengers in absence of driver	8.888206669648067
Drivers	0.31190251460862045
Passengers in presence of driver	6.54995280678103
Passengers in absence of driver	2.0877179373419534
Passengers in absence of driver	3.4522546061093635
Passengers in absence of driver	2.8370064470942853
Passengers in absence of driver	0.7055405141005885
Drivers	2.861437875393823
Passengers in absence of driver	0.9451051347592687
Passengers in absence of driver	2.2110242687109087
Passengers in absence of driver	8.916417038568564
Passengers in absence of driver	0.7063604234928823
Passengers in absence of driver	1.2223945058672154
Passengers in absence of driver	2.2100996277757803
Passengers in absence of driver	1.4006764396814568
Passengers in absence of driver	5.281228966009983
Passengers in absence of driver	1.1721498654232396
Passengers in absence of driver	3.2145643278590073
Passengers in absence of driver	0.9849997675908438
