cancer_gene_type	mutation_count_bin	gene_exp	gene_size_group
TSG	2-5	0.0014407404862094193	Q3
TSG	0-2	0.11131757657822614	Q1
TSG	0-2	0.09094481329218822	Q3
TSG	0-2	0.22053539403564543	Q2
TSG	0-2	0.00019247465543755345	Q3
TSG	0-2	0.037138836379612086	Q2
TSG	0-2	0.078070731795455	Q2
TSG	0-2	0.0010292416595169382	Q3
TSG	5-10	0.030961322897546485	Q3
TSG	2-5	0.06414618350269893	Q3
TSG	2-5	0.000828408915756319	Q3
TSG	0-2	0.48147454438715737	Q2
TSG	5-10	0.0	Q3
TSG	0-2	0.14398692301750995	Q1
TSG	0-2	0.12832160736802314	Q1
TSG	0-2	0.04180892498879442	Q2
TSG	10+	0.002526339350265318	Q3
TSG	0-2	0.017263579394369767	Q3
TSG	0-2	0.07329147010348967	Q2
TSG	5-10	0.12351220088306172	Q3
TSG	0-2	0.04403794142241656	Q2
TSG	5-10	0.0	Q3
TSG	2-5	0.12805068889892543	Q2
TSG	10+	0.05866851976289646	Q2
TSG	2-5	0.10714804039848845	Q1
TSG	5-10	0.14081118028650402	Q1
TSG	0-2	0.10187070123731644	Q1
TSG	0-2	0.039845342559049146	Q2
TSG	10+	0.00029667306897521086	Q3
TSG	0-2	0.19178370556806287	Q1
TSG	0-2	0.13966492395626098	Q2
TSG	2-5	0.2406065561355433	Q1
TSG	0-2	0.0062810579068069364	Q1
TSG	10+	0.13307154651093872	Q2
TSG	0-2	0.10724776972217284	Q1
TSG	10+	0.0	Q3
TSG	2-5	0.17381499112335147	Q1
TSG	0-2	0.27647503005393637	Q2
TSG	10+	0.21040786057764296	Q3
TSG	2-5	0.0018089981817956042	Q3
TSG	5-10	0.0013569693072942575	Q3
TSG	2-5	0.0003541890607535903	Q3
TSG	0-2	0.08688436408583954	Q2
TSG	10+	0.00019422652137679147	Q3
TSG	0-2	0.2778608557581085	Q1
TSG	0-2	0.007363138793040185	Q2
TSG	0-2	5.169037296929979e-05	Q3
TSG	0-2	0.0013926730243823428	Q3
TSG	0-2	0.01673811494808968	Q1
TSG	2-5	0.006131707131171007	Q3
TSG	2-5	0.07685676191297688	Q2
TSG	5-10	0.0994591474915633	Q2
TSG	0-2	0.13077554045577341	Q1
TSG	10+	0.09156944403950053	Q3
TSG	0-2	0.1566434265687873	Q1
TSG	0-2	0.3216732106035484	Q2
TSG	5-10	0.00351370514885825	Q3
TSG	0-2	0.3234035869453484	Q1
TSG	5-10	0.0	Q3
TSG	0-2	0.3590685138628243	Q1
TSG	0-2	0.010445068506828073	Q2
TSG	10+	0.0005960552356440293	Q3
TSG	2-5	0.03854170675470813	Q1
TSG	0-2	0.045524182794642085	Q1
TSG	5-10	0.0009596267936375386	Q3
TSG	0-2	0.4672272136322626	Q2
TSG	2-5	0.0024224084594514804	Q3
TSG	0-2	0.07987684971242517	Q2
TSG	0-2	0.05750622275105809	Q1
TSG	10+	0.00017438504301221113	Q3
TSG	2-5	0.011857097227394827	Q3
TSG	0-2	0.06859234351940545	Q1
TSG	10+	0.007237983381802482	Q3
TSG	2-5	8.19066784530863e-05	Q3
TSG	5-10	0.1822600369332776	Q3
TSG	2-5	0.004471088125403033	Q3
TSG	0-2	0.0	Q3
TSG	2-5	0.27574944856819494	Q1
TSG	0-2	0.2257687954870461	Q2
TSG	10+	0.00042669377314371893	Q3
TSG	0-2	0.2446801672095703	Q2
TSG	2-5	0.0015530639605064222	Q3
TSG	0-2	0.17523150648421837	Q1
TSG	5-10	0.045952105270587844	Q2
TSG	0-2	0.05467484007957385	Q1
TSG	10+	0.010347035014970954	Q3
TSG	0-2	0.06006316331806809	Q1
TSG	0-2	0.10148080818905594	Q2
TSG	10+	9.203670098771695e-05	Q3
TSG	10+	0.0008448513976324606	Q3
TSG	5-10	0.0006799108103125413	Q3
TSG	0-2	0.12708596570797226	Q2
TSG	0-2	0.18111276372928836	Q1
TSG	0-2	0.14022453612921024	Q2
TSG	0-2	0.06089644840116609	Q1
TSG	10+	0.0004608140616538215	Q3
TSG	2-5	0.2897114286316156	Q1
TSG	2-5	0.00020158818479899275	Q3
TSG	0-2	0.08153738864768734	Q2
TSG	0-2	0.1286625365951574	Q1
TSG	2-5	7.265722885148393e-05	Q3
TSG	0-2	0.09003077409827873	Q1
TSG	10+	0.003323778744494036	Q3
TSG	0-2	0.14057371330860124	Q2
TSG	2-5	0.0	Q3
TSG	0-2	0.15711514592836076	Q1
TSG	10+	0.0	Q3
TSG	0-2	0.18306405734707507	Q1
TSG	0-2	8.78363940050325e-05	Q3
TSG	5-10	0.00022795963726848778	Q3
TSG	0-2	0.09047150367096106	Q1
TSG	0-2	0.058543065538610724	Q2
TSG	5-10	0.15941233942642632	Q2
TSG	0-2	0.09184589857778548	Q1
TSG	10+	0.0003265500484707739	Q3
TSG	0-2	0.1325180510352844	Q1
TSG	0-2	0.15564320582011115	Q2
TSG	2-5	0.5793446653301739	Q2
TSG	5-10	0.001386090893125828	Q3
TSG	0-2	0.1579893725341486	Q1
TSG	2-5	0.2891706244552712	Q2
TSG	5-10	0.20522428016997316	Q1
TSG	5-10	0.06547522235189761	Q2
TSG	2-5	0.12788072618837643	Q1
TSG	10+	0.00012470172237786546	Q3
TSG	0-2	0.11776088203721057	Q1
